Detected CPU features: mmx sse sse2 sse3 ssse3 sse4.1 sse4.2 popcnt avx avx2
bpp v4.8.7_macos_x86_64, 128GB RAM, 36 cores
https://github.com/bpp/bpp

Auto-selected SIMD ISA: AVX2


Starting timer..
Seed: 1156397925 (randomly generated)
Parsing species tree... Done
Parsing phylip file... Done

Summary of alignments *before* phasing sequences:
 Locus | Model | Sequences | Length | Ambiguous sites | Compressed | Base freqs 
   125 |  JC69 |         4 |    206 |               7 |          5 |      Fixed 
   126 |  JC69 |        14 |    288 |              25 |         17 |      Fixed 
   127 |  JC69 |         2 |    285 |              12 |          3 |      Fixed 
   128 |  JC69 |        20 |    228 |              20 |         18 |      Fixed 
   129 |  JC69 |         6 |    457 |             192 |         10 |      Fixed 
   130 |  JC69 |         7 |    282 |              26 |         12 |      Fixed 
   131 |  JC69 |         6 |    280 |              23 |         14 |      Fixed 
   132 |  JC69 |         2 |    277 |              18 |         10 |      Fixed 
   133 |  JC69 |        19 |    240 |              13 |         13 |      Fixed 
   134 |  JC69 |        15 |     42 |               3 |          4 |      Fixed 
   135 |  JC69 |        20 |     72 |               4 |          5 |      Fixed 
   136 |  JC69 |        20 |    566 |             243 |         27 |      Fixed 
   137 |  JC69 |         5 |    528 |             264 |          4 |      Fixed 
   138 |  JC69 |        18 |    144 |               4 |          4 |      Fixed 
   139 |  JC69 |        19 |     73 |               2 |          3 |      Fixed 
   140 |  JC69 |        20 |    148 |              13 |         10 |      Fixed 
   141 |  JC69 |         3 |    286 |               8 |          4 |      Fixed 
   142 |  JC69 |        11 |    402 |              20 |         13 |      Fixed 
   143 |  JC69 |        19 |    429 |              92 |          9 |      Fixed 
   144 |  JC69 |        16 |    584 |             288 |         16 |      Fixed 
   145 |  JC69 |        10 |    286 |              27 |         21 |      Fixed 
   146 |  JC69 |        20 |    292 |              89 |         11 |      Fixed 
   147 |  JC69 |         8 |    253 |              61 |          5 |      Fixed 
   148 |  JC69 |        15 |     61 |               2 |          3 |      Fixed 
   149 |  JC69 |         9 |    286 |             103 |         21 |      Fixed 
   150 |  JC69 |         3 |    279 |               6 |          5 |      Fixed 
   151 |  JC69 |         3 |    278 |               5 |          5 |      Fixed 
   152 |  JC69 |         2 |    272 |               1 |          2 |      Fixed 
   153 |  JC69 |        20 |    263 |              12 |          7 |      Fixed 
   154 |  JC69 |         5 |    331 |              91 |          9 |      Fixed 
   155 |  JC69 |        19 |    131 |               3 |          4 |      Fixed 
   156 |  JC69 |        20 |    263 |             102 |          6 |      Fixed 
   157 |  JC69 |         5 |    283 |              10 |          7 |      Fixed 
   158 |  JC69 |         6 |    282 |              93 |         12 |      Fixed 
   159 |  JC69 |        13 |    458 |              22 |         15 |      Fixed 
   160 |  JC69 |         9 |    432 |             162 |          9 |      Fixed 
   161 |  JC69 |        19 |    227 |              14 |         13 |      Fixed 
   162 |  JC69 |         4 |    100 |               1 |          2 |      Fixed 
   163 |  JC69 |        11 |    118 |              44 |         13 |      Fixed 
   164 |  JC69 |        20 |    167 |               6 |          7 |      Fixed 
   165 |  JC69 |        20 |    698 |             411 |         21 |      Fixed 
   166 |  JC69 |        13 |     53 |               1 |          2 |      Fixed 
   167 |  JC69 |        19 |     90 |               2 |          3 |      Fixed 
   168 |  JC69 |        19 |     90 |               3 |          4 |      Fixed 
   169 |  JC69 |        19 |    289 |              41 |         27 |      Fixed 
   170 |  JC69 |        18 |    188 |               3 |          4 |      Fixed 
   171 |  JC69 |        19 |    401 |               5 |          5 |      Fixed 
   172 |  JC69 |        20 |    501 |             172 |         17 |      Fixed 
   173 |  JC69 |        15 |     97 |               4 |          2 |      Fixed 
   174 |  JC69 |        20 |     73 |               1 |          2 |      Fixed 
   175 |  JC69 |        20 |    323 |             232 |         11 |      Fixed 
   176 |  JC69 |         3 |     72 |               0 |          1 |      Fixed 
   177 |  JC69 |        15 |    287 |              28 |         13 |      Fixed 
   178 |  JC69 |        12 |    215 |               1 |          4 |      Fixed 
   179 |  JC69 |        20 |    289 |               4 |          5 |      Fixed 
   180 |  JC69 |        18 |    388 |             128 |         13 |      Fixed 
   181 |  JC69 |         3 |    363 |             120 |         13 |      Fixed 
   182 |  JC69 |        17 |     81 |               3 |          3 |      Fixed 
   183 |  JC69 |         4 |    259 |              20 |          6 |      Fixed 
   184 |  JC69 |        15 |    192 |              14 |          7 |      Fixed 
   185 |  JC69 |        20 |     85 |               4 |          5 |      Fixed 
   186 |  JC69 |        15 |    283 |              28 |         17 |      Fixed 
   187 |  JC69 |        19 |    617 |             617 |         20 |      Fixed 
   188 |  JC69 |         5 |     48 |               0 |          1 |      Fixed 
   189 |  JC69 |        18 |    254 |              41 |         23 |      Fixed 
   190 |  JC69 |        16 |    148 |              17 |          8 |      Fixed 
   191 |  JC69 |        15 |    127 |              56 |         10 |      Fixed 
   192 |  JC69 |        16 |    245 |              22 |         18 |      Fixed 
   193 |  JC69 |        20 |     75 |               2 |          3 |      Fixed 
   194 |  JC69 |        20 |    205 |             101 |         11 |      Fixed 
   195 |  JC69 |        12 |    197 |               9 |         10 |      Fixed 
   196 |  JC69 |         6 |    281 |              72 |         11 |      Fixed 
   197 |  JC69 |        20 |    111 |              19 |          4 |      Fixed 
