Gen	theta:1:ajan	theta:2:alas	theta:3:R	tau:3:R	W:1->2:ajan->alas	W:2->1:alas->ajan	lnL
5420	0.006931	0.009475	0.003723	0.000499	346.057337	1261.957146	-550717.102
5440	0.007029	0.010244	0.003711	0.000539	357.202158	1156.840225	-550944.581
5460	0.007471	0.010783	0.003691	0.000554	357.744565	1074.084279	-550976.631
5480	0.007143	0.010190	0.003644	0.000552	335.970422	1098.856674	-550870.817
5500	0.007094	0.010344	0.003620	0.000541	343.082549	1279.156425	-550994.835
5520	0.006639	0.010722	0.003632	0.000530	327.719658	1250.198979	-550795.593
5540	0.006906	0.010355	0.003588	0.000550	317.108944	1138.865566	-550833.972
5560	0.006258	0.010323	0.003466	0.000565	309.235181	1236.911006	-550775.247
5580	0.006325	0.009750	0.003665	0.000539	356.255958	1268.167293	-550789.783
5600	0.006817	0.010484	0.003619	0.000574	329.601121	1169.485279	-550814.195
5620	0.006892	0.010666	0.003563	0.000561	334.984938	1299.504757	-550876.426
5640	0.006695	0.010183	0.003489	0.000563	300.560529	1283.459392	-550814.391
5660	0.006764	0.009970	0.003401	0.000557	340.614849	1267.122409	-550964.084
5680	0.006470	0.010529	0.003533	0.000586	331.060242	1114.209261	-550819.991
5700	0.006847	0.010436	0.003565	0.000571	365.154355	1249.983442	-550910.483
5720	0.006743	0.010560	0.003486	0.000553	357.250414	1265.578947	-550930.267
5740	0.006270	0.010784	0.003466	0.000585	377.154108	1197.383520	-550979.013
5760	0.006321	0.011232	0.003486	0.000573	379.902432	1207.473904	-550875.516
5780	0.006831	0.010530	0.003468	0.000585	388.607129	1174.476317	-550723.340
5800	0.006470	0.010042	0.003492	0.000562	373.116566	1295.561599	-550807.699
5820	0.006754	0.010268	0.003569	0.000565	349.638119	1275.508872	-550816.890
5840	0.006483	0.010361	0.003549	0.000572	381.206540	1097.731463	-550836.388
5860	0.006674	0.010130	0.003615	0.000578	409.327262	1114.366764	-550885.632
5880	0.007347	0.010217	0.003421	0.000564	424.468223	1198.457957	-550884.317
5900	0.006963	0.010108	0.003607	0.000561	448.052324	1191.891054	-550925.251
5920	0.007194	0.009694	0.003618	0.000568	438.685770	1112.929723	-550958.177
5940	0.007104	0.009711	0.003454	0.000533	392.703154	1254.754963	-550927.687
5960	0.007310	0.010509	0.003571	0.000574	450.568601	1080.662511	-550997.117
5980	0.007135	0.011038	0.003554	0.000575	444.966797	1038.370038	-551018.966
6000	0.006831	0.010742	0.003404	0.000558	452.331748	1129.831546	-550887.617
6020	0.006757	0.011331	0.003495	0.000564	455.681263	1169.227770	-550876.486
6040	0.006606	0.010256	0.003586	0.000537	495.342612	1133.461499	-550788.450
6060	0.006559	0.010473	0.003589	0.000536	471.588647	1102.011440	-550793.858
6080	0.006683	0.010179	0.003740	0.000536	445.641151	1040.592677	-550988.576
