Gen	theta:1_a1:ajan_a1	theta:1_b1:ajan_b1	theta:2_a1:alas_a1	theta:2_b1:alas_b1	theta:3_a1:R_a1	theta:3_b1:R_b1	W:1->2_a1:ajan->alas_a1	W:1->2_b1:ajan->alas_b1	W:2->1_a1:alas->ajan_a1	W:2->1_b1:alas->ajan_b1
514840	7312.2	47.97845	7718.9	85.47636	16321.8	56.83673	8220.0	7.21	9211.0	5.45
514860	7071.6	49.40843	7871.5	84.05495	16409.7	54.81538	8264.0	7.12	9373.0	5.49
514880	7251.4	49.19364	7887.1	79.48023	16213.6	53.67801	7916.0	6.84	8612.0	5.44
514900	7454.4	50.61114	8257.7	79.92753	15639.6	50.71024	7983.0	7.04	8654.0	5.67
514920	7632.6	53.85984	7864.1	79.68794	15855.7	52.56655	8255.0	7.06	8415.0	5.90
514940	7598.6	53.09262	7815.2	79.90984	15938.6	51.40365	8078.0	7.05	8281.0	5.82
514960	7351.8	53.10112	8375.8	81.93890	15624.6	50.01217	8301.0	7.29	9142.0	5.90
514980	7515.5	51.51367	8160.2	83.89006	15676.5	49.29192	8223.0	7.31	8985.0	5.78
515000	7440.6	51.79074	7974.7	86.68810	15937.7	53.48195	8291.0	7.47	9095.0	5.80
515020	7459.3	49.62540	7586.9	84.51438	16306.7	55.17598	8539.0	7.17	9156.0	5.55
515040	7436.1	47.41975	7410.0	83.21641	16506.7	56.55877	8295.0	6.95	8905.0	5.31
515060	7911.8	47.61874	7218.6	86.58780	16222.7	54.39301	8606.0	7.25	9045.0	5.44
515080	7285.9	44.92374	7398.7	90.15320	16668.5	52.27884	8404.0	7.34	9686.0	5.21
515100	7452.5	50.82432	7434.3	86.80112	16466.5	52.41120	8559.0	7.32	9052.0	5.64
515120	7422.0	46.20509	7665.7	83.69119	16264.5	51.60863	8669.0	7.04	9525.0	5.28
515140	7350.2	48.03235	8073.1	81.90907	15928.7	53.79977	8297.0	7.02	9249.0	5.44
515160	7366.5	50.51255	7621.8	84.05185	16364.6	53.74039	8656.0	7.14	9280.0	5.59
515180	7560.1	48.59059	7585.0	85.59871	16207.6	53.12840	8550.0	7.24	9269.0	5.48
515200	7917.6	45.43795	7610.0	85.94639	15824.6	51.42515	8342.0	7.27	9033.0	5.35
515220	7990.6	46.21934	7815.6	84.35575	15545.7	51.84333	8085.0	7.24	8823.0	5.40
515240	7534.2	48.92776	8323.8	80.95597	15493.6	50.53794	8489.0	7.11	9365.0	5.57
515260	7475.2	48.19641	8455.8	82.83614	15420.6	50.50336	8622.0	7.23	9821.0	5.55
515280	7236.4	48.56286	8374.0	84.23408	15741.5	49.96589	8477.0	7.28	9816.0	5.53
515300	7148.2	46.76577	8570.1	86.86564	15633.6	51.71823	8128.0	7.46	9854.0	5.45
515320	7559.0	47.41876	8283.5	88.14865	15509.6	49.55862	8071.0	7.54	9375.0	5.53
515340	7389.0	46.00346	8131.8	89.04723	15831.6	51.01819	8467.0	7.51	9850.0	5.41
515360	7357.9	44.84262	8112.9	90.21611	15881.6	51.35037	8584.0	7.49	10056.0	5.32
515380	7138.0	44.35305	8014.4	93.80033	16200.5	51.63119	8645.0	7.66	10522.0	5.24
515400	7238.1	46.40007	7636.8	93.18978	16478.6	54.37733	8514.0	7.64	9983.0	5.39
515420	7225.4	48.90373	7606.6	91.44250	16521.6	53.67285	8869.0	7.54	10089.0	5.56
515440	7026.1	44.42338	7786.9	96.69815	16540.7	55.07404	8281.0	7.79	10235.0	5.25
515460	6790.1	43.15833	7903.0	89.37456	16659.5	52.94963	8301.0	7.25	10337.0	5.01
515480	6734.4	45.66268	7555.8	92.82473	17063.7	56.68470	8661.0	7.46	10368.0	5.24
515500	6960.1	44.35518	8163.7	88.57831	16228.7	55.30229	8234.0	7.30	10081.0	5.18
515520	7116.2	46.21013	7524.6	90.74038	16712.7	56.02281	8915.0	7.41	10250.0	5.31
515540	6824.0	42.37579	7885.8	86.36946	16642.7	56.46601	8533.0	7.02	10348.0	4.90
515560	6525.8	47.48800	7806.0	88.16036	17021.6	55.56392	8547.0	7.20	10324.0	5.28
515580	6709.3	44.47519	7777.0	87.17006	16866.6	55.58963	8583.0	7.09	10268.0	5.08
515600	6940.2	44.74213	7657.8	84.29719	16754.7	57.50405	8555.0	6.95	10032.0	5.05
515620	6244.2	40.52153	8409.4	88.33277	16698.7	56.71363	8345.0	7.06	11111.0	4.75
515640	6691.8	40.51707	7386.8	90.30744	17274.8	59.63199	8792.0	7.06	10886.0	4.73
515660	6773.8	40.34534	7101.5	93.09861	17478.7	58.45117	9194.0	7.17	11123.0	4.73
